timestamp,pm25,prev_pm25,next_pm25,aqi_category
2025-01-13T09:30:00.000Z,114.0,104.0,114.0,Unhealthy for Sensitive Groups
2025-01-13T09:30:00.000Z,114.0,114.0,113.0,Unhealthy for Sensitive Groups
2025-01-13T10:30:00.000Z,113.0,114.0,113.0,Unhealthy for Sensitive Groups
2025-01-13T10:30:00.000Z,113.0,113.0,117.0,Unhealthy for Sensitive Groups
2025-01-13T11:30:00.000Z,117.0,113.0,117.0,Unhealthy for Sensitive Groups
2025-01-13T11:30:00.000Z,117.0,117.0,117.0,Unhealthy for Sensitive Groups
2025-01-13T12:30:00.000Z,117.0,117.0,117.0,Unhealthy for Sensitive Groups
2025-01-13T12:30:00.000Z,117.0,117.0,123.0,Unhealthy for Sensitive Groups
2025-01-13T13:30:00.000Z,123.0,117.0,123.0,Unhealthy for Sensitive Groups
2025-01-13T13:30:00.000Z,123.0,123.0,142.0,Unhealthy for Sensitive Groups
2025-01-13T14:30:00.000Z,142.0,123.0,142.0,Unhealthy for Sensitive Groups
2025-01-13T14:30:00.000Z,142.0,142.0,127.0,Unhealthy for Sensitive Groups
2025-01-13T15:30:00.000Z,127.0,142.0,127.0,Unhealthy for Sensitive Groups
2025-01-13T15:30:00.000Z,127.0,127.0,151.0,Unhealthy for Sensitive Groups
2025-01-13T16:30:00.000Z,151.0,127.0,151.0,Unhealthy
2025-01-13T16:30:00.000Z,151.0,151.0,187.0,Unhealthy
2025-01-13T17:30:00.000Z,187.0,151.0,187.0,Unhealthy
2025-01-13T17:30:00.000Z,187.0,187.0,188.0,Unhealthy
2025-01-13T18:30:00.000Z,188.0,187.0,188.0,Unhealthy
2025-01-13T18:30:00.000Z,188.0,188.0,167.0,Unhealthy
2025-01-20T19:30:00.000Z,167.0,188.0,167.0,Unhealthy
2025-01-20T19:30:00.000Z,167.0,167.0,162.0,Unhealthy
2025-01-20T20:30:00.000Z,162.0,167.0,162.0,Unhealthy
2025-01-20T20:30:00.000Z,162.0,162.0,157.0,Unhealthy
2025-01-20T21:30:00.000Z,157.0,162.0,157.0,Unhealthy
2025-01-20T21:30:00.000Z,157.0,157.0,150.0,Unhealthy
2025-01-20T22:30:00.000Z,150.0,157.0,150.0,Unhealthy for Sensitive Groups
2025-01-20T22:30:00.000Z,150.0,150.0,148.0,Unhealthy for Sensitive Groups
2025-01-20T23:30:00.000Z,148.0,150.0,148.0,Unhealthy for Sensitive Groups
2025-01-20T23:30:00.000Z,148.0,148.0,143.0,Unhealthy for Sensitive Groups
2025-01-21T00:30:00.000Z,143.0,148.0,143.0,Unhealthy for Sensitive Groups
2025-01-21T00:30:00.000Z,143.0,143.0,140.0,Unhealthy for Sensitive Groups
2025-01-21T01:30:00.000Z,140.0,143.0,140.0,Unhealthy for Sensitive Groups
2025-01-21T01:30:00.000Z,140.0,140.0,150.0,Unhealthy for Sensitive Groups
2025-01-21T02:30:00.000Z,150.0,140.0,150.0,Unhealthy for Sensitive Groups
2025-01-21T02:30:00.000Z,150.0,150.0,145.0,Unhealthy for Sensitive Groups
2025-01-21T03:30:00.000Z,145.0,150.0,145.0,Unhealthy for Sensitive Groups
2025-01-21T03:30:00.000Z,145.0,145.0,145.0,Unhealthy for Sensitive Groups
2025-01-21T04:30:00.000Z,145.0,145.0,145.0,Unhealthy for Sensitive Groups
2025-01-21T04:30:00.000Z,145.0,145.0,117.0,Unhealthy for Sensitive Groups
2025-01-21T05:30:00.000Z,117.0,145.0,117.0,Unhealthy for Sensitive Groups
2025-01-21T05:30:00.000Z,117.0,117.0,84.0,Unhealthy for Sensitive Groups
2025-01-21T06:30:00.000Z,84.0,117.0,84.0,Moderate
2025-01-21T06:30:00.000Z,84.0,84.0,142.0,Moderate
2025-01-21T07:30:00.000Z,142.0,84.0,142.0,Unhealthy for Sensitive Groups
2025-01-21T07:30:00.000Z,142.0,142.0,102.0,Unhealthy for Sensitive Groups
2025-01-21T08:30:00.000Z,102.0,142.0,102.0,Unhealthy for Sensitive Groups
2025-01-21T08:30:00.000Z,102.0,102.0,85.0,Unhealthy for Sensitive Groups
2025-01-21T09:30:00.000Z,85.0,102.0,85.0,Moderate
2025-01-21T09:30:00.000Z,85.0,85.0,82.0,Moderate
2025-01-21T10:30:00.000Z,82.0,85.0,82.0,Moderate
2025-01-21T10:30:00.000Z,82.0,82.0,87.0,Moderate
2025-01-21T11:30:00.000Z,87.0,82.0,87.0,Moderate
2025-01-21T11:30:00.000Z,87.0,87.0,100.0,Moderate
2025-01-21T12:30:00.000Z,100.0,87.0,100.0,Moderate
2025-01-21T12:30:00.000Z,100.0,100.0,124.0,Moderate
2025-01-21T13:30:00.000Z,124.0,100.0,124.0,Unhealthy for Sensitive Groups
